date,state,District,Market,commodity,variety,grade,min_price,max_price,modal_price,weighted_avg_modal_price,day_of_week,month,week_of_year,arrival_qty_mt,arrival_lag_1,arrival_7d_mean,arrival_change_pct,is_likely_non_trading_day,rainfall,temp_max,temp_min,humidity,temp_avg,rainfall_7d,rainfall_anomaly_7d,heavy_rain_flag,dry_spell_flag,is_procurement_active,msp_value,msp_announced,msp_changed,procurement_started,procurement_ended,spread,log_spread,target_modal_price,target_min_price,target_max_price,target_spread,target_log_spread,target_return,target_min_return,target_max_return,lag_1,lag_3,lag_7,lag_14,min_price_lag_1,min_price_rolling_mean_7,max_price_lag_1,max_price_rolling_mean_7,spread_lag_1,spread_rolling_mean_7,spread_rolling_std_7,log_spread_lag_1,ret_1,ret_3,ret_7,ret_14,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_std_14,rolling_std_30,ratio_ma7,ratio_ma14,ratio_ma30,seasonal_ma_7,seasonal_ma_30,seasonal_trend,is_harvest_season,is_monsoon_season,mkt_Jaggampet,mkt_Kovvur,mkt_Kuchinapudi,mkt_Mylavaram,mkt_Nandigama,mkt_Polavaram,mkt_Rampachodvaram,mkt_Rapur,mkt_Tiruvuru,dist_Alluri Sitharama Raju,dist_Bapatla,dist_East Godavari,dist_Eluru,dist_Kakinada,dist_Krishna,dist_NTR,dist_Nellore,dist_SPSR Nellore
2025-11-15,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),,,2500.0,2500.0,2500.0,2500.0,5,11,46,403.3,4569.2,1949.1585714285716,2.553861709574551,0,0.0,30.9,19.3,63.0,25.1,0.5,-13.814285714285713,0,0,1,2320.0,0,0,0,0,0.0,0.0,2500.0,2500.0,2500.0,0.0,0.0,0.0,0.0,0.0,2500.0,2350.0,2400.0,2580.0,2500.0,2400.0,2500.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.06382978696242643,0.04166666649305555,-0.031007751817799408,2400.0,2485.714285714286,2485.714285714286,49.99999999999947,112.16157889500208,112.16157889500208,1.0416666623263888,1.0057471223906724,1.0057471223906724,2400.0,2485.714285714286,0.0,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2025-11-16,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),,,2500.0,2500.0,2500.0,2500.0,6,11,46,190.6,403.3,2006.7728571428572,-0.9117350958592314,1,0.0,30.7,19.5,61.0,25.1,0.5,-13.814285714285713,0,0,1,2320.0,0,0,0,0,0.0,0.0,2500.0,2500.0,2500.0,0.0,0.0,0.0,0.0,0.0,2500.0,2350.0,2400.0,2580.0,2500.0,2414.285714285714,2500.0,2414.285714285714,0.0,0.0,0.0,0.0,0.0,0.06382978696242643,0.04166666649305555,-0.031007751817799408,2414.285714285714,2480.0,2486.6666666666665,62.678317052800566,108.98129691338357,108.1445241112008,1.035502954290816,1.008064512064256,1.0053619262518958,2414.285714285714,2486.6666666666665,-6.666666666666515,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2025-11-17,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),,,2500.0,2500.0,2500.0,2500.0,0,11,47,188.9,190.6,2034.0014285714285,-0.5273989585916192,0,0.0,30.6,19.7,57.0,25.15,0.5,0.042857142857142816,0,0,1,2320.0,0,0,0,0,0.0,0.0,2500.0,2500.0,2500.0,0.0,0.0,0.0,0.0,0.0,2500.0,2500.0,2400.0,2690.0,2500.0,2428.5714285714284,2500.0,2428.5714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.04166666649305555,-0.07063196999765066,2428.5714285714284,2474.285714285714,2487.5,69.86381310057705,105.37218182849156,104.53069724567354,1.029411760467128,1.010392605616196,1.0050251215878385,2428.5714285714284,2487.5,-13.21428571428578,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2025-11-18,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),,,2500.0,2500.0,2500.0,2500.0,1,11,47,565.8,188.9,2016.4914285714287,-0.008919202518362979,0,0.0,31.4,19.7,59.0,25.549999999999997,0.2,-0.2571428571428572,0,0,1,2320.0,0,0,0,0,0.0,0.0,2500.0,2500.0,2500.0,0.0,0.0,0.0,0.0,0.0,2500.0,2500.0,2400.0,2550.0,2500.0,2442.8571428571427,2500.0,2442.8571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.04166666649305555,-0.0196078430603614,2442.8571428571427,2460.714285714286,2488.235294117647,73.19250547114,85.8858173761745,101.25680804998044,1.023391808676174,1.015965162779822,1.0047281283497924,2442.8571428571427,2488.235294117647,-27.521008403361066,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2025-11-19,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,2,11,47,5200.91,565.8,1751.2914285714285,1.9952355743779773,0,0.0,30.7,19.2,64.0,24.95,0.1,-0.3571428571428572,0,0,1,2320.0,0,0,0,0,10.0,2.3978952727983707,2377.0,2369.0,2379.0,10.0,2.3978952727983707,0.0,0.0,0.0,2377.0,2377.0,2377.0,2397.0,2369.0,2369.0,2379.0,2379.0,10.0,10.0,0.0,2.3978952727983707,0.0,0.0,0.0,-0.008343763002320554,2377.0,2384.1428571428573,2384.1428571428573,0.0,9.94490316197689,9.94490316197689,0.9999999957930163,0.9970040104385953,0.9970040104385953,2377.0,2384.1428571428573,0.0,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2025-11-19,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),,,2500.0,2500.0,2500.0,2500.0,2,11,47,5200.91,565.8,1751.2914285714285,1.9952355743779773,0,0.0,30.7,19.2,64.0,24.95,0.1,-0.3571428571428572,0,0,1,2320.0,0,0,0,0,0.0,0.0,2500.0,2500.0,2500.0,0.0,0.0,0.0,0.0,0.0,2500.0,2500.0,2350.0,2600.0,2500.0,2457.1428571428573,2500.0,2457.1428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.06382978696242643,-0.03846153831360947,2457.1428571428573,2457.1428571428573,2488.8888888888887,73.19250547114017,82.87419301647428,98.27266323789785,1.0174418563243643,1.0174418563243643,1.0044642816784917,2457.1428571428573,2488.8888888888887,-31.74603174603135,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2025-11-20,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,3,11,47,2143.87,5200.91,1772.0585714285714,8.192135030045954,0,0.0,30.8,19.2,72.0,25.0,0.0,-0.4571428571428572,0,0,1,2320.0,0,0,0,0,10.0,2.3978952727983707,2377.0,2369.0,2379.0,10.0,2.3978952727983707,0.0,0.0,0.0,2377.0,2377.0,2377.0,2397.0,2369.0,2369.0,2379.0,2379.0,10.0,10.0,0.0,2.3978952727983707,0.0,0.0,0.0,-0.008343763002320554,2377.0,2382.714285714286,2383.6666666666665,0.0,9.376144618769802,9.759000729485276,0.9999999957930163,0.9976017704999025,0.9972031841817793,2377.0,2383.6666666666665,-0.9523809523807358,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2025-11-20,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),,,2500.0,2500.0,2500.0,2500.0,3,11,47,2143.87,5200.91,1772.0585714285714,8.192135030045954,0,0.0,30.8,19.2,72.0,25.0,0.0,-0.4571428571428572,0,0,1,2320.0,0,0,0,0,0.0,0.0,2450.0,2450.0,2450.0,0.0,0.0,-0.019999999919999997,-0.019999999919999997,-0.019999999919999997,2500.0,2500.0,2350.0,2600.0,2500.0,2478.5714285714284,2500.0,2478.5714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.06382978696242643,-0.03846153831360947,2478.5714285714284,2450.0,2489.4736842105262,56.69467095138463,73.37993857053402,95.53787406111232,1.008645529071747,1.0204081591003749,1.0042283257758269,2478.5714285714284,2489.4736842105262,-39.473684210526244,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2025-11-21,Andhra Pradesh,East Godavari,Jaggampet,Paddy(Common),Common,FAQ,2369.0,2379.0,2379.0,2377.0,4,11,47,4941.3099999999995,2143.87,1894.6542857142854,-0.5877894445395133,0,1.2,32.1,23.9,73.0,28.0,0.0,-0.4571428571428572,0,0,1,2320.0,0,0,0,0,10.0,2.3978952727983707,2377.0,2369.0,2379.0,10.0,2.3978952727983707,0.0,0.0,0.0,2377.0,2377.0,2377.0,2397.0,2369.0,2369.0,2379.0,2379.0,10.0,10.0,0.0,2.3978952727983707,0.0,0.0,0.0,-0.008343763002320554,2377.0,2381.285714285714,2383.25,0.0,8.516306272526219,9.574271077563326,0.9999999957930163,0.9982002477728708,0.9973775264979438,2377.0,2383.25,-1.9642857142857792,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2025-11-21,Andhra Pradesh,Krishna,Tiruvuru,Paddy(Common),Sona,Local,2450.0,2450.0,2450.0,2450.0,4,11,47,4941.3099999999995,2143.87,1894.6542857142854,-0.5877894445395133,0,1.2,32.1,23.9,73.0,28.0,0.0,-0.4571428571428572,0,0,1,2320.0,0,0,0,0,0.0,0.0,2450.0,2450.0,2450.0,0.0,0.0,0.0,0.0,0.0,2500.0,2500.0,2500.0,2400.0,2500.0,2500.0,2500.0,2500.0,0.0,0.0,0.0,0.0,-0.019999999919999997,-0.019999999919999997,-0.019999999919999997,0.020833333246527776,2500.0,2442.8571428571427,2490.0,0.0,61.57279262148782,93.01952256890682,0.97999999608,1.0029239725026504,0.9839357390203383,2500.0,2490.0,-47.14285714285734,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
