date,modal_price,min_price,max_price,temp_max,temp_min,precipitation,rainfall,humidity,wind_max,temp_avg,lag_1,lag_3,lag_7,rolling_mean_7,rolling_mean_14,rolling_std_7,rolling_std_14,rainfall_7d,temp_avg_7d,humidity_avg_7d,day_of_week,month,week_of_year,is_harvest_season,target_modal_price,target_modal_price_2d
2005-04-11,1216.6666666666667,1000.0,1600.0,33.8,27.3,1.7,1.7,73,12.4,30.549999999999997,1275.0,1275.0,1275.0,1275.0,1275.0,0.0,0.0,7.9,31.085714285714285,68.14285714285714,0,4,15,1,1216.6666666666667,1216.6666666666667
2005-04-12,1216.6666666666667,1000.0,1600.0,34.8,26.9,0.9,0.9,73,13.8,30.849999999999998,1216.6666666666667,1275.0,1275.0,1266.6666666666665,1267.7083333333333,22.047927592204907,20.62394778460759,9.6,31.057142857142857,69.14285714285714,1,4,15,1,1216.6666666666667,1216.6666666666667
2005-04-13,1216.6666666666667,1000.0,1600.0,37.0,26.8,0.6,0.6,69,16.2,31.9,1216.6666666666667,1275.0,1275.0,1258.3333333333335,1262.0370370370372,28.46375212766555,25.722582190905673,10.1,31.0,70.0,2,4,15,1,1216.6666666666667,1216.6666666666667
2005-04-14,1216.6666666666667,1000.0,1600.0,37.5,26.4,0.0,0.0,65,15.6,31.95,1216.6666666666667,1216.6666666666667,1275.0,1250.0,1257.5,31.180478223116186,28.17767700647939,10.2,31.12857142857143,69.85714285714286,3,4,15,1,1216.6666666666667,1216.6666666666667
2005-04-15,1216.6666666666667,1000.0,1600.0,37.4,26.6,0.0,0.0,65,16.6,32.0,1216.6666666666667,1216.6666666666667,1275.0,1241.6666666666667,1253.787878787879,31.18047822311615,29.430623781388185,10.2,31.27857142857143,69.57142857142857,4,4,15,1,1216.6666666666667,1216.6666666666667
2005-04-16,1216.6666666666667,1000.0,1600.0,38.1,25.8,0.2,0.2,67,16.3,31.950000000000003,1216.6666666666667,1216.6666666666667,1275.0,1233.3333333333335,1250.6944444444446,28.46375212766544,30.03750461509209,10.0,31.392857142857142,69.42857142857143,5,4,15,1,1216.6666666666667,1216.6666666666667
2005-04-17,1216.6666666666667,1000.0,1600.0,38.5,27.1,0.0,0.0,64,17.2,32.8,1216.6666666666667,1216.6666666666667,1275.0,1225.0,1248.076923076923,22.047927592204623,30.267680430328213,9.8,31.449999999999996,69.28571428571429,6,4,15,1,1216.6666666666667,1216.6666666666667
2005-04-18,1216.6666666666667,1000.0,1600.0,38.3,26.9,0.4,0.4,63,19.2,32.599999999999994,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1245.8333333333335,0.0,30.26768043032821,3.4,31.714285714285715,68.0,0,4,16,1,1216.6666666666667,1216.6666666666667
2005-04-19,1216.6666666666667,1000.0,1600.0,36.1,27.1,0.0,0.0,64,14.8,31.6,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1241.6666666666667,0.0,29.95723447576379,2.1,32.00714285714285,66.57142857142857,1,4,16,1,1216.6666666666667,1216.6666666666667
2005-04-20,1216.6666666666667,1000.0,1600.0,34.7,27.0,0.4,0.4,64,13.4,30.85,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1237.5,0.0,29.00596755576593,1.2000000000000002,32.114285714285714,65.28571428571429,2,4,16,1,1216.6666666666667,1216.6666666666667
2005-04-21,1216.6666666666667,1000.0,1600.0,38.0,25.8,0.5,0.5,62,15.5,31.9,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1233.3333333333335,0.0,27.347088471412075,1.0,31.964285714285715,64.57142857142857,3,4,16,1,1216.6666666666667,1216.6666666666667
2005-04-22,1216.6666666666667,1000.0,1600.0,38.6,27.0,0.3,0.3,65,16.6,32.8,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1229.1666666666667,0.0,24.839226628201814,1.5,31.957142857142856,64.14285714285714,4,4,16,1,1216.6666666666667,1216.6666666666667
2005-04-23,1216.6666666666667,1000.0,1600.0,37.7,27.2,0.0,0.0,66,17.5,32.45,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1225.0,0.0,21.18296364340782,1.8,32.07142857142857,64.14285714285714,5,4,16,1,1216.6666666666667,1216.6666666666667
2005-04-24,1216.6666666666667,1000.0,1600.0,37.1,26.9,0.0,0.0,68,16.9,32.0,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1220.8333333333335,0.0,15.59023911155767,1.6,32.142857142857146,64.0,6,4,16,1,1216.6666666666667,1216.6666666666667
2005-04-25,1216.6666666666667,1000.0,1600.0,36.4,27.6,0.0,0.0,65,14.1,32.0,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,0.0,0.0,1.6,32.028571428571425,64.57142857142857,0,4,17,1,1216.6666666666667,1216.6666666666667
2005-04-26,1216.6666666666667,1000.0,1600.0,35.6,26.8,0.2,0.2,66,14.4,31.200000000000003,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,0.0,0.0,1.2,31.942857142857143,64.85714285714286,1,4,17,1,1216.6666666666667,1216.6666666666667
2005-04-27,1216.6666666666667,1000.0,1600.0,37.4,27.2,0.5,0.5,65,14.0,32.3,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,0.0,0.0,1.4,31.88571428571429,65.14285714285714,2,4,17,1,1216.6666666666667,1216.6666666666667
2005-04-28,1216.6666666666667,1000.0,1600.0,38.5,27.2,0.9,0.9,66,16.7,32.85,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,0.0,0.0,1.5,32.09285714285714,65.28571428571429,3,4,17,1,1216.6666666666667,1216.6666666666667
2005-04-29,1216.6666666666667,1000.0,1600.0,37.1,28.4,0.3,0.3,69,14.9,32.75,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,0.0,0.0,1.9,32.228571428571435,65.85714285714286,4,4,17,1,1216.6666666666667,1216.6666666666667
2005-04-30,1216.6666666666667,1000.0,1600.0,33.7,26.0,4.3,4.3,74,16.2,29.85,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,0.0,0.0,1.9,32.221428571428575,66.42857142857143,5,4,17,1,1216.6666666666667,1216.6666666666667
2005-05-01,1216.6666666666667,1000.0,1600.0,33.4,26.7,2.6,2.6,72,13.7,30.049999999999997,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,0.0,0.0,6.199999999999999,31.85,67.57142857142857,6,5,17,1,1216.6666666666667,1216.6666666666667
2005-05-02,1216.6666666666667,1000.0,1600.0,33.3,26.5,6.1,6.1,77,11.0,29.9,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,0.0,0.0,8.8,31.571428571428573,68.14285714285714,0,5,18,1,1216.6666666666667,1216.6666666666667
2005-05-03,1216.6666666666667,1000.0,1600.0,32.1,26.3,1.7,1.7,78,11.8,29.200000000000003,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,0.0,0.0,14.9,31.271428571428572,69.85714285714286,1,5,18,1,1216.6666666666667,1216.6666666666667
2005-05-04,1216.6666666666667,1000.0,1600.0,34.3,25.9,0.4,0.4,74,11.7,30.099999999999998,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,0.0,0.0,16.400000000000002,30.985714285714284,71.57142857142857,2,5,18,1,1216.6666666666667,1216.6666666666667
2005-05-05,1216.6666666666667,1000.0,1600.0,34.9,25.2,3.4,3.4,72,10.0,30.049999999999997,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,0.0,0.0,16.3,30.671428571428574,72.85714285714286,3,5,18,1,1216.6666666666667,1216.6666666666667
2005-05-06,1216.6666666666667,1000.0,1600.0,33.8,27.3,2.8,2.8,74,10.2,30.549999999999997,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,0.0,0.0,18.8,30.271428571428572,73.71428571428571,4,5,18,1,1216.6666666666667,1216.6666666666667
2005-05-07,1216.6666666666667,1000.0,1600.0,36.1,26.9,0.0,0.0,72,13.5,31.5,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,0.0,0.0,21.3,29.957142857142856,74.42857142857143,5,5,18,1,1216.6666666666667,1216.6666666666667
2005-05-08,1216.6666666666667,1000.0,1600.0,38.4,28.4,0.0,0.0,68,17.1,33.4,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,0.0,0.0,17.0,30.192857142857143,74.14285714285714,6,5,18,1,1216.6666666666667,1216.6666666666667
2005-05-09,1216.6666666666667,1000.0,1600.0,40.0,28.5,0.1,0.1,65,13.4,34.25,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,0.0,0.0,14.399999999999999,30.67142857142857,73.57142857142857,0,5,19,1,1216.6666666666667,1216.6666666666667
2005-05-10,1216.6666666666667,1000.0,1600.0,40.5,29.2,1.4,1.4,60,11.3,34.85,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,0.0,0.0,8.4,31.292857142857144,71.85714285714286,1,5,19,1,1216.6666666666667,1216.6666666666667
2005-05-11,1216.6666666666667,1000.0,1600.0,40.6,28.4,0.0,0.0,58,11.2,34.5,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,0.0,0.0,8.1,32.1,69.28571428571429,2,5,19,1,1216.6666666666667,1216.6666666666667
2005-05-12,1216.6666666666667,1000.0,1600.0,40.4,27.4,0.0,0.0,66,18.5,33.9,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,1216.6666666666667,0.0,0.0,7.7,32.72857142857143,67.0,3,5,19,1,1216.6666666666667,1216.6666666666667
